FromCity,ToCity,Distance
1,1,0.050366529
1,2,0.688742023
1,3,0.515352963
1,4,0.979463244
1,5,0.628950075
1,6,0.263348822
1,7,0.546087098
1,8,0.456135324
1,9,0.123820041
1,10,0.394677933
2,1,0.75975145
2,2,0.481193013
2,3,0.27605718
2,4,0.102345512
2,5,0.956171128
2,6,0.803341704
2,7,0.123622891
2,8,0.364623698
2,9,0.475052256
2,10,0.813773718
3,1,0.319507655
3,2,0.685516928
3,3,0.394101698
3,4,0.151949897
3,5,0.036259199
3,6,0.740597374
3,7,0.68268026
3,8,0.61763173
3,9,0.576759117
3,10,0.061066695
4,1,0.289105378
4,2,0.063153078
4,3,0.408394333
4,4,0.359264064
4,5,0.056196826
4,6,0.928379921
4,7,0.758928907
4,8,0.609888977
4,9,0.570582394
4,10,0.276637421
5,1,0.917761903
5,2,0.388148711
5,3,0.287873056
5,4,0.414046439
5,5,0.871892666
5,6,0.529617006
5,7,0.149854255
5,8,0.549414222
5,9,0.367289841
5,10,0.584697205
6,1,0.59984098
6,2,0.762924306
6,3,0.669126424
6,4,0.740522556
6,5,0.70530192
6,6,0.619478069
6,7,0.496597437
6,8,0.259308756
6,9,0.5444733
6,10,0.923856559
7,1,0.938267919
7,2,0.846553194
7,3,0.538210533
7,4,0.140699575
7,5,0.51794849
7,6,0.293137468
7,7,0.421096305
7,8,0.182841397
7,9,0.470073677
7,10,0.14689371
8,1,0.515570212
8,2,0.837152785
8,3,0.333660999
8,4,0.743594307
8,5,0.293745515
8,6,0.040153135
8,7,0.4378845
8,8,0.246062782
8,9,0.585637325
8,10,0.549468582
9,1,0.871823131
9,2,0.693436539
9,3,0.622249347
9,4,0.497325288
9,5,0.987541487
9,6,0.242397272
9,7,0.768686144
9,8,0.243470381
9,9,0.559210664
9,10,0.303127447
10,1,0.105666093
10,2,0.833937725
10,3,0.853518648
10,4,0.252694738
10,5,0.224740398
10,6,0.331821791
10,7,0.009647172
10,8,0.881836253
10,9,0.993703048
10,10,0.38175927
